Date,User,Tweet
2023-03-29 19:22:40+00:00,PaperD42293953,"If you and Tony Blair were walking into number 10 tomorrow with an in-tray of cost of living crisis, energy crisis, Northern Ireland protocol, economy and lack of productivity, NHS collapse and war in Ukrainian. What would you do in the first 100 days?"
2023-03-20 07:57:20+00:00,jaylenzdk13,Did you actually do this? Or are you taking the credit for someone else’s work? What about inflation? The energy crisis? The cost of living crisis? Brexit? Northern Ireland? Or don’t you consider those your priorities? Total fraud.
2023-02-28 08:31:12+00:00,KeithArmishaw,"O.K. Now that you have fixed Northern Ireland trade how about fixing the rest of the UK's energy crisis. Priorities my boy, priorities!"
2023-02-28 08:24:14+00:00,anglopheonix,"@TalkTV Maybe JHB could put this question out there..? Yep… I know she is infatuated with Northern Ireland, energy crisis, Ukraine, Unions, school teachers, nurses, paramedics, Sunak, Johnson, but… just for a change…? 👇🏻"
2023-02-28 01:39:33+00:00,MalksVoice,"@campbellclaret ... so let's not get carried away. He still has multiple strikes, NHS permacrisis, broken economy, crumbling schools, energy crisis, cost of living crisis, and all the Brexit issues that *don't* relate to Northern Ireland to go. Just off the top of my head."
2023-02-27 21:32:51+00:00,PhilipThorne13,@BBCNews What's more in paulton in the UK right now is not the EU. It's the food prices the energy crisis they are still putting the food up there still putting energy crisis up this stupid prime minister is going on about the EU and Northern Ireland and people are going hungry and cold.
2023-02-27 16:05:49+00:00,PinkNana48,@Conservatives @RishiSunak Now you have sort of sorted out the Northern Ireland Brexit deal you need to get your finger out and sort the UK out you may need to kick a few backsides please get your head around the energy crisis strike's economy etc get back on track it's clear your party has lost the plot
2023-02-20 06:48:45+00:00,Johnson_747,"@Keir_Starmer And what change is that⁉️
Is that the same policies you have for Wales England and Northern Ireland
How are you going to fix
The Energy Crisis
The infrastructure for the EV revolution
The health of the nation via the NHS and social care fix urgently needed to secure the NHS"
2023-02-14 10:57:30+00:00,Fan89Footy,"Tuesday 15th February 1972:

- Energy crisis worsens, Miners' strike continues
- 50th soldier to be killed in Northern Ireland
- Detained lady in Rhodesia forced to end hunger strike
- Hereford lose 3-1 at Upton Park to West Ham in FA Cup https://t.co/xIc9wOFKaG"
2023-02-10 00:20:26+00:00,JohnBoy32158538,"@jgtsport I am from Northern Ireland and as well as being an Ulsterman. I am British!
I am not sure who to vote for because of the Energy crisis. I call it the ENERGY SCAM!!! I have asked politicians about the fact that Natural Gas/Crude Oil is now cheaper than it was in February 2022! Why https://t.co/Etz2ujVkYO"
2023-02-09 08:32:23+00:00,johnafish,"@NetZeroWatch @Conservatives The @Conservatives won an 80-seat majority and it seems no-one in the party wondered why that had happened

Three years later the ECHR run our border, the EU run Northern Ireland and our Government is doubling down on ""net-zero"" during an energy crisis

They will be annihilated"
2023-02-02 22:29:53+00:00,PhilipThorne13,@BBCWorld BBC news on Northern Ireland 35 years ago having an enquiry why are you making enquiries what happened 35 years ago. why is it took so long. why not make enquiries on what's going on today instead of news 35 years ago. trying 2 port  minds off the energy crisis and food prices.
2023-01-15 21:35:48+00:00,laugh_at_Forest,"@BBCNews BBC news as usual setting their own agenda.

Instead, how about looking at the Labour Party and the Tories and their views on:
Unions, Food Banks, the NHS, Brexit, the Northern Ireland Protocol, the Energy Crisis, government corruption through contracts for PPE, etc"
2023-01-04 11:09:28+00:00,danster62,"@DianneBancroft @JohnWest_JAWS Rishi Rich is in an awkward position: 

Mick Lynch
The economy
No deal with America
Corruption
Donor fraud
PPE fraud
Brexit worse than expected
Ban on the ‘B’ word ignored
Bojo lurking
Food inflation
Energy crisis
Strikes
NHS
&amp; Northern Ireland

He’s unlikely to go there is he."
2022-12-21 12:23:10+00:00,EmilyPa02548724,"# VNG calls for government support as energy crisis intensifies 🍳🥚🍤🥕🌽🍌🍉🍒🍈🥑🍇🍓🍐🥨🍎🍳🥚🥨🥩🍖🍗🍍🍑🥓🥙🍑🍳🥚🍤🍖🍗🍊🍇Live news updates from May 6: Wall Street stocks suffer five-week losing streak, Sinn Féin on track for historic victory in Northern Ireland"
2022-12-20 04:46:08+00:00,mattblake94,"The Supreme Court now a right wing weapon. 

In the UK there's food shortages, the NHS collapsing, strikes on a daily basis, Scotland fighting to quit, Northern Ireland without a govt, an energy crisis, a cost of living crisis..."
2022-12-19 23:39:32+00:00,shazzabomb42,@StephenRhB @BlokeOnWheels Using scare tactics and hysteria to take us back into eu using the self made energy crisis and the Northern Ireland protocol. Are you watching what they are doing to your brexit @Nigel_Farage
2022-12-18 19:48:50+00:00,ShaunTrain101,"#UK Faces Energy Crisis - Winter Cold Not Foreseen - - Whistling Winter Wind (4:18 min) Audio Mp3 
https://t.co/5qnBGnAqPz #England #Wales #Scotland #NorthernIreland #Winter #Cold #Chill #Storm #Climate #ClimateChange #ClimateScam #ClimateCrisis https://t.co/dTd4wlkglK"
2022-12-08 01:10:33+00:00,bronaghoc,@blackbean1 @daz_black I feel ur pain on this one. Even worse we r in northern ireland and cant even form an assembly where there is £600  available to all households for energy crisis but we cant do a thing about it because  they cant sit down and put people first The same people that voted for them🥺
2022-12-07 12:21:15+00:00,EnergyLiveNews,"Is this the light at the end of the energy crisis tunnel?

Northern Ireland’s largest supplier of natural gas announced tariff reductions

@firmusenergy

#energy #energycrisis #climatechange #climatecrisis #netzero 

https://t.co/nNVaM1JsNR"
2022-12-01 12:13:25+00:00,newschambers,"Ursula von der Leyen at Govt Buildings for meeting with the Taoiseach.

Ukraine, energy crisis and Brexit’s Northern Ireland protocol on the agenda https://t.co/Wrg50AmUHY"
2022-12-01 09:36:40+00:00,DeirdreCluneMEP,"To mark 50 years of Ireland’s membership in the EU, @vonderleyen will address the Oireachtas today 🇮🇪🇪🇺

Important discussions on the war in Ukraine, the cost of living crisis, the energy crisis &amp; the Northern Ireland Protocol due to take place.

https://t.co/Am3FE4w286"
2022-11-23 11:27:41+00:00,mattyboyd92,@AnumSNP You tried before and failed. Nothings changed clearly. People are suffering in Scotland from addiction to homelessness and energy crisis. Swallow your pride and do right by the people. And that’s from someone in Northern Ireland
2022-11-23 06:51:22+00:00,TheTruthPanther,JUST IN: President Cyril Ramaphosa has come under fire from the opposition parties for visiting the UK and Northern Ireland while the nation is experiencing an energy crisis. https://t.co/wT09q3NZBN
2022-11-19 19:02:12+00:00,aendubh,"@Kilsally Alan, take a wee look at the difference between the money paid to citizens in Ireland compared to the meager payments to Northern Ireland during this energy crisis.
Remember Alan money talks, so talk to us and see the difference"
2022-11-18 15:03:05+00:00,LoverSeani,"@LyndonRosser @MikeDLondon @FraserNelson Maybe listening to your #UK partners #Scotland &amp; #NorthernIreland.. you forced us out like naughty kids &amp; we in a energy crisis are also the coldest parts of the U.K importing it to England, extra £ help? Not a FUCKING chance #ToryEngland #Tories #Tory #MINGLAND 🏴󠁧󠁢󠁥󠁮󠁧󠁿 💩"
2022-11-15 07:20:23+00:00,Burning81970838,#r4today - A conversation about Northern Ireland Oil in relationship to the energy crisis and the need to move away from Oil to renewable. Should never be discussed without the DUP corruption scandal - only the BBC won’t talk about that!
2022-11-10 08:44:50+00:00,LyndaHurley1234,@GMB @susannareid100 Well done GMB for fighting the Northern Ireland energy crisis corner with a Westminster Minister on national TV! Perhaps Westminster will do something now.
2022-11-09 07:17:05+00:00,PaulRam60679993,"@johnredwood Yes, great insight! they need to sort it out. Northern Ireland they need to sort that out. Climate change - sort that out. Energy crisis - sort it out. Putin - sort him out. The govt needs be sorting this all out..."
2022-11-05 01:16:02+00:00,SharonC69063882,@sara_endipidy @BelfastBre @HarriettmooreB2 Failure to deliver the energy bill support would be inexcusable according to DUP.  Ireland/Northern Ireland protocol provided basis for continued operation of the Single electricity Market. Energy crisis. Europe is   prepared for power outages this winter.
2022-11-04 09:44:59+00:00,shelleydeane,"All we want for Christmas is:
a functioning #Stormont #assembly to meet the needs of #NorthernIreland’s people struggling with an energy crisis, harsh #austerity measures, #NHS waiting lists, #education challenges, food banks, &amp; marginalised communities persecuted by #drug gangs"
2022-11-02 16:12:22+00:00,joa_becker,"Labour peer is launching bid to avert energy crisis with potential power cuts and drastic electricity price rises in Northern Ireland as result of proposed Brexit legislation 
Peter Hain to table amendment in House of Lords to protect single energy market https://t.co/JDKYAV57Na"
2022-11-02 16:00:39+00:00,Lost_Tribe,"Labour peer bids to avert a fresh energy crisis with potential power cuts and drastic electricity price rises in Northern Ireland due to proposed #Brexit legislation.

@BorisJohnson and his @Conservatives #brexitchaos continues. #BrexitDisaster 

https://t.co/7swP5s7f79 https://t.co/xVjBOjHNj4"
2022-11-02 11:15:46+00:00,JohnDalton6011,A Labour peer is launching a bid to avert a fresh energy crisis with potential power cuts and drastic electricity price rises in Northern Ireland as a result of proposed Brexit legislation. https://t.co/fEjsnERZ1y #wato
2022-11-02 10:24:22+00:00,MoragConnolly1,"“A Labour peer is launching a bid to avert a fresh energy crisis with potential power cuts and drastic electricity price rises in Northern Ireland as a result of proposed Brexit legislation.”
#BrexitReality
 https://t.co/h8KcLpDiN1"
2022-11-02 10:23:53+00:00,EuropePol_b,"Labour in bid to avert Northern Ireland power cuts as result of Bre... (https://t.co/aejaXLk2mJ)

A Labour peer is launching a bid to avert a fresh energy crisis with potential power cuts an...

Add your highlights:
https://t.co/3mG34KFpdK
 #europe #politics #..."
2022-11-02 09:24:34+00:00,torysleazeUK,"🏴‍☠️ Exclusive: Peter Hain to table amendment in House of Lords to protect single energy market

A Labour peer is launching a bid to avert a fresh energy crisis with potential power cuts and drastic electricity price rises in… https://t.co/I3acnsXtJw #NorthernIreland #Energy"
2022-11-02 09:14:18+00:00,edwinhayward,"""A Labour peer is launching a bid to avert a fresh energy crisis with potential power cuts and drastic electricity price rises in Northern Ireland as a result of proposed Brexit legislation.""

Binning EU law would rip NI out of the single energy market. 🤦‍♂️ https://t.co/MlgXSvsQor"
2022-11-02 09:12:06+00:00,hawkred7,"Peter Hain Labour peer is launching a bid to avert a fresh energy crisis with potential power cuts and drastic electricity price rises in Northern Ireland as a result of proposed Brexit legislation.
https://t.co/lWRtefkFqI"
2022-11-02 08:56:35+00:00,Politics_Tday,"UPDATE; Labour in bid to avert Northern Ireland power cuts as result of Brexit legislation: Exclusive: Peter Hain to table amendment in House of Lords to protect single energy market

A Labour peer is launching a bid to avert a fresh energy crisis with potential… VIA @guardian"
2022-11-01 11:07:37+00:00,alistatonmixer,"I wonder how many of the 17.4 mill leave voters still believe in #brexit?

Food inflation
Cost of living
Energy crisis
Fall in value of Sterling
Northern Ireland
Refugee issues

All these issues made worse because of that 2016 decision and subsequent form of #brexit

#BrexitLies"
2022-10-29 10:52:07+00:00,Ed52180997,"@LBC @clivebull Should consider joining the Customs Union Brexit has had an economic impact along with Pandemic, War, Energy crisis plus Northern Ireland."
2022-10-28 21:58:25+00:00,BlearyEyedMan,"@PaulHop70887106 @Katahdin5270 @ScotNational In no particular order....
UK Economic Plan &amp; Economic Stability
Public Sector Pay &amp; Ongoing Strikes
NHS preparations for Winter
NHS Waiting Lists
The Energy Crisis
The War in Ukraine
The Northern Ireland Protocol"
2022-10-27 16:44:33+00:00,MamaDuckOfMayo,"https://t.co/sukbu8BpNC

#dup have no mandate in #NorthernIreland just as #RishiSunak &amp; #Murdoch's pet #tories have no mandate from an electorate suffering from #Conservative mismanagement of a pandemic, inflation, energy crisis and the #BrexitShambles. 
#UnitedIreland #SinnFein"
2022-10-27 07:38:03+00:00,BillyLinehan,"People of Northern Ireland suffer without Home Rule- energy crisis, NHS crisis, fall in living standards -
Not an inch: Robinson tells DUP to hold the line in blackmail against Northern Ireland protocol

https://t.co/C3L1INDYqW"
2022-10-26 08:43:07+00:00,THCarver5,"@BBCPolitics BBCPolitics:
1. The Chancellor focusing on a £40billion deficit
2. Immigration numbers
3. Curb on Union powers
4. Northern Ireland Protocol 
5. Energy crisis solutions
This is five of many problems facing the Prime Minister, a man to respect in this!"
2022-10-25 18:10:10+00:00,frank_storm23,"World leaders have called for cooperation on issues ranging from climate change and the energy crisis to the Northern Ireland Protocol and war in Ukraine, as they congratulated Rishi Sunak on becoming Prime Minister.
Premiers from the US, Japan and across the European"
2022-10-25 18:09:44+00:00,AngelaWalkr,"World leaders have called for cooperation on issues ranging from climate change and the energy crisis to the Northern Ireland Protocol and war in Ukraine, as they congratulated Rishi Sunak on becoming Prime Minister.
Premiers from the US, Japan and across the European https://t.co/2azK0MEPGq"
2022-10-25 14:44:05+00:00,PA,"World leaders have called for cooperation on issues ranging from climate change and the energy crisis to the Northern Ireland Protocol and war in Ukraine, as they congratulated Rishi Sunak on becoming Prime Minister

✍️: @EddDracott

https://t.co/LTOL0Jwtou"
2022-10-22 06:23:20+00:00,MichaelBlowfie2,"@TalkTV when a government doesn't deliver what an 80 seat majority gave them they turn on each other.Breathtaking arrogance of these ego driven quislings who do nothing about the invasion on our shores or Northern Ireland,or the energy crisis,they distract us with this nonsense."
2022-10-18 21:29:00+00:00,JohnSpe04145985,"Northern Irelands true problems:

1. The DUP and TUV...
2. Cost of living crisis..all elements. 
3. Active Loyalist paramilitaries..
4. Drugs
5. Mental health Crisis
6. NHS crisis
7. No proper pay raises
8. Roads and Infrastructure
9. Energy crisis
10. Rates increases"
2022-10-18 19:03:15+00:00,XEmpire3,"2. There are many ways this could play out, but most likely it will start with Northern Ireland. While The UK could blame the Pandemic and the Energy Crisis on its poor economic performance, as more numbers come out year after year UK is constantly underperforming other areas"
2022-10-18 09:39:15+00:00,MrRCain2,"Northern Irelands true problems:

1. The DUP and TUV...
2. Cost of living crisis..all elements. 
3. Active Loyalist paramilitaries..
4. Drugs
5. Mental health Crisis
6. NHS crisis
7. No proper pay raises
8. Roads and Infrastructure
9. Energy crisis
10. Rates increases"
2022-10-17 20:28:40+00:00,jontaylor1976,@adamaicken19992 @Monica76492580 Adam I might be wrong when I say this but the energy crisis has been sorted while Stormont isn’t up and running so it’s a bit of a red herring that things can’t be done with out stormont. The people of Northern Ireland are getting the same entitlement to energy payments as all.
